GENEID	SYMBOL	type
ENSG00000047936	ROS1	ensg
ENSG00000048028	USP28	ensg
ENSG00000048052	HDAC9	ensg
ENSG00000048140	TSPAN17	ensg
ENSG00000048162	NOP16	ensg
ENSG00000048342	CC2D2A	ensg
ENSG00000048392	RRM2B	ensg
ENSG00000048405	ZNF800	ensg
ENSG00000048462	TNFRSF17	ensg
ENSG00000048471	SNX29	ensg
ENSG00000048540	LMO3	ensg
ENSG00000048544	MRPS10	ensg
ENSG00000048545	GUCA1A	ensg
ENSG00000048649	RSF1	ensg
ENSG00000048707	VPS13D	ensg
ENSG00000048740	CELF2	ensg
ENSG00000048828	FAM120A	ensg
ENSG00000048991	R3HDM1	ensg
ENSG00000049089	COL9A2	ensg
ENSG00000049130	KITLG	ensg
ENSG00000049167	ERCC8	ensg
ENSG00000049192	ADAMTS6	ensg
ENSG00000049239	H6PD	ensg
ENSG00000049245	VAMP3	ensg
ENSG00000049246	PER3	ensg
ENSG00000049247	UTS2	ensg
ENSG00000049249	TNFRSF9	ensg
ENSG00000049283	EPN3	ensg
ENSG00000049323	LTBP1	ensg
ENSG00000049449	RCN1	ensg
ENSG00000049540	ELN	ensg
ENSG00000049541	RFC2	ensg
ENSG00000049618	ARID1B	ensg
ENSG00000049656	CLPTM1L	ensg
ENSG00000049759	NEDD4L	ensg
ENSG00000049768	FOXP3	ensg
ENSG00000049769	PPP1R3F	ensg
ENSG00000049860	HEXB	ensg
ENSG00000049883	PTCD2	ensg
ENSG00000050030	KIAA2022	ensg
ENSG00000050130	JKAMP	ensg
ENSG00000050165	DKK3	ensg
ENSG00000050327	ARHGEF5	ensg
ENSG00000050344	NFE2L3	ensg
ENSG00000050393	MCUR1	ensg
ENSG00000050405	LIMA1	ensg
ENSG00000050426	LETMD1	ensg
ENSG00000050438	SLC4A8	ensg
ENSG00000050555	LAMC3	ensg
ENSG00000050628	PTGER3	ensg
ENSG00000050730	TNIP3	ensg
ENSG00000050748	MAPK9	ensg
ENSG00000050767	COL23A1	ensg
ENSG00000050820	BCAR1	ensg
ENSG00000051009	FAM160A2	ensg
ENSG00000051108	HERPUD1	ensg
ENSG00000051128	HOMER3	ensg
ENSG00000051180	RAD51	ensg
ENSG00000051341	POLQ	ensg
ENSG00000051382	PIK3CB	ensg
ENSG00000051523	CYBA	ensg
ENSG00000051596	THOC3	ensg
ENSG00000051620	HEBP2	ensg
ENSG00000051825	MPHOSPH9	ensg
ENSG00000052126	PLEKHA5	ensg
ENSG00000052344	PRSS8	ensg
ENSG00000052723	SIKE1	ensg
ENSG00000052749	RRP12	ensg
ENSG00000052795	FNIP2	ensg
ENSG00000052802	MSMO1	ensg
ENSG00000052841	TTC17	ensg
ENSG00000052850	ALX4	ensg
ENSG00000053108	FSTL4	ensg
ENSG00000053254	FOXN3	ensg
ENSG00000053328	METTL24	ensg
ENSG00000053371	AKR7A2	ensg
ENSG00000053372	MRTO4	ensg
ENSG00000053438	NNAT	ensg
ENSG00000053501	USE1	ensg
ENSG00000053524	MCF2L2	ensg
ENSG00000053702	NRIP2	ensg
ENSG00000053747	LAMA3	ensg
ENSG00000053770	AP5M1	ensg
ENSG00000053900	ANAPC4	ensg
ENSG00000053918	KCNQ1	ensg
ENSG00000054116	TRAPPC3	ensg
ENSG00000054118	THRAP3	ensg
ENSG00000054148	PHPT1	ensg
ENSG00000054179	ENTPD2	ensg
ENSG00000054219	LY75	ensg
ENSG00000054267	ARID4B	ensg
ENSG00000054277	OPN3	ensg
ENSG00000054282	SDCCAG8	ensg
ENSG00000054356	PTPRN	ensg
ENSG00000054392	HHAT	ensg
ENSG00000054523	KIF1B	ensg
ENSG00000054598	FOXC1	ensg
ENSG00000054611	TBC1D22A	ensg
ENSG00000054654	SYNE2	ensg
ENSG00000054690	PLEKHH1	ensg
ENSG00000054793	ATP9A	ensg
ENSG00000054796	SPO11	ensg
ENSG00000054803	CBLN4	ensg
ENSG00000054938	CHRDL2	ensg
ENSG00000054965	FAM168A	ensg
ENSG00000054967	RELT	ensg
ENSG00000054983	GALC	ensg
ENSG00000055044	NOP58	ensg
